Source Name	Comment [GEO_sample]	Comment [ENA_SAMPLE]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Characteristics [strain]	Characteristics[sex]	Characteristics [age]	Unit[time unit]	Characteristics[organism part]	Characteristics [cell type]	Characteristics [FACS marker]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[single cell isolation]	Comment[input molecule]	Comment[library construction]	Comment[end bias]	Comment[primer]	Comment[spike in]	Comment[spike in dilution]	Comment[LIBRARY_STRAND]	Comment [LIBRARY_LAYOUT]	Comment [LIBRARY_SOURCE]	Comment [LIBRARY_STRATEGY]	Comment [LIBRARY_SELECTION]	Comment [INSTRUMENT_MODEL]	Assay Name	Comment[technical replicate group]	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Technology Type	Protocol REF	Scan Name	Comment [ENA_RUN]	Comment [FASTQ_URI]	FactorValue[single cell identifier]	FactorValue [cell type]
HSPC_040	GSM2166460 1	SRS1454019	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_040	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166460 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166460	HSPC_040	SRX1783029	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556303	SRR3556303	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/003/SRR3556303/SRR3556303.fastq.gz	HSPC_040	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_040	GSM2168386 1	SRS1455939	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_040	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168386 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168386	HSPC_040	SRX1784949	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558223	SRR3558223	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/003/SRR3558223/SRR3558223.fastq.gz	HSPC_040	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_041	GSM2166461 1	SRS1454020	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_041	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166461 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166461	HSPC_041	SRX1783030	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556304	SRR3556304	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/004/SRR3556304/SRR3556304.fastq.gz	HSPC_041	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_041	GSM2168387 1	SRS1455940	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_041	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168387 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168387	HSPC_041	SRX1784950	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558224	SRR3558224	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/004/SRR3558224/SRR3558224.fastq.gz	HSPC_041	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_042	GSM2166462 1	SRS1454021	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_042	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166462 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166462	HSPC_042	SRX1783031	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556305	SRR3556305	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/005/SRR3556305/SRR3556305.fastq.gz	HSPC_042	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_042	GSM2168388 1	SRS1455941	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_042	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168388 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168388	HSPC_042	SRX1784951	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558225	SRR3558225	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/005/SRR3558225/SRR3558225.fastq.gz	HSPC_042	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_043	GSM2166463 1	SRS1454022	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_043	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166463 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166463	HSPC_043	SRX1783032	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556306	SRR3556306	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/006/SRR3556306/SRR3556306.fastq.gz	HSPC_043	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_043	GSM2168389 1	SRS1455943	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_043	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168389 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168389	HSPC_043	SRX1784952	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558226	SRR3558226	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/006/SRR3558226/SRR3558226.fastq.gz	HSPC_043	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_044	GSM2166464 1	SRS1454023	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_044	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166464 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166464	HSPC_044	SRX1783033	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556307	SRR3556307	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/007/SRR3556307/SRR3556307.fastq.gz	HSPC_044	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_044	GSM2168390 1	SRS1455942	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_044	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168390 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168390	HSPC_044	SRX1784953	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558227	SRR3558227	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/007/SRR3558227/SRR3558227.fastq.gz	HSPC_044	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_045	GSM2166465 1	SRS1454024	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_045	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166465 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166465	HSPC_045	SRX1783034	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556308	SRR3556308	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/008/SRR3556308/SRR3556308.fastq.gz	HSPC_045	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_045	GSM2168391 1	SRS1455944	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_045	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168391 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168391	HSPC_045	SRX1784954	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558228	SRR3558228	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/008/SRR3558228/SRR3558228.fastq.gz	HSPC_045	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_046	GSM2166466 1	SRS1454025	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_046	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166466 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166466	HSPC_046	SRX1783035	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556309	SRR3556309	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/009/SRR3556309/SRR3556309.fastq.gz	HSPC_046	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_046	GSM2168392 1	SRS1455946	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_046	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168392 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168392	HSPC_046	SRX1784955	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558229	SRR3558229	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/009/SRR3558229/SRR3558229.fastq.gz	HSPC_046	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_047	GSM2166467 1	SRS1454026	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_047	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166467 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166467	HSPC_047	SRX1783036	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556310	SRR3556310	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/000/SRR3556310/SRR3556310.fastq.gz	HSPC_047	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_047	GSM2168393 1	SRS1455945	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_047	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168393 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168393	HSPC_047	SRX1784956	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558230	SRR3558230	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/000/SRR3558230/SRR3558230.fastq.gz	HSPC_047	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_048	GSM2166468 1	SRS1454027	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_048	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166468 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166468	HSPC_048	SRX1783037	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556311	SRR3556311	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/001/SRR3556311/SRR3556311.fastq.gz	HSPC_048	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_048	GSM2168394 1	SRS1455947	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_048	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168394 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168394	HSPC_048	SRX1784957	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558231	SRR3558231	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/001/SRR3558231/SRR3558231.fastq.gz	HSPC_048	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_049	GSM2166469 1	SRS1454028	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_049	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166469 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166469	HSPC_049	SRX1783038	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556312	SRR3556312	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/002/SRR3556312/SRR3556312.fastq.gz	HSPC_049	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_049	GSM2168395 1	SRS1455948	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_049	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168395 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168395	HSPC_049	SRX1784958	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558232	SRR3558232	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/002/SRR3558232/SRR3558232.fastq.gz	HSPC_049	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_050	GSM2166470 1	SRS1454029	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_050	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166470 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166470	HSPC_050	SRX1783039	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556313	SRR3556313	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/003/SRR3556313/SRR3556313.fastq.gz	HSPC_050	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_050	GSM2168396 1	SRS1455949	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_050	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168396 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168396	HSPC_050	SRX1784959	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558233	SRR3558233	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/003/SRR3558233/SRR3558233.fastq.gz	HSPC_050	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_051	GSM2166471 1	SRS1454030	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_051	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166471 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166471	HSPC_051	SRX1783040	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556314	SRR3556314	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/004/SRR3556314/SRR3556314.fastq.gz	HSPC_051	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_051	GSM2168397 1	SRS1455950	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_051	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168397 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168397	HSPC_051	SRX1784960	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558234	SRR3558234	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/004/SRR3558234/SRR3558234.fastq.gz	HSPC_051	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_052	GSM2166472 1	SRS1454031	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_052	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166472 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166472	HSPC_052	SRX1783041	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556315	SRR3556315	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/005/SRR3556315/SRR3556315.fastq.gz	HSPC_052	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_052	GSM2168398 1	SRS1455951	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_052	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168398 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168398	HSPC_052	SRX1784961	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558235	SRR3558235	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/005/SRR3558235/SRR3558235.fastq.gz	HSPC_052	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_053	GSM2166473 1	SRS1454032	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_053	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166473 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166473	HSPC_053	SRX1783042	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556316	SRR3556316	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/006/SRR3556316/SRR3556316.fastq.gz	HSPC_053	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_053	GSM2168399 1	SRS1455954	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_053	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168399 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168399	HSPC_053	SRX1784962	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558236	SRR3558236	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/006/SRR3558236/SRR3558236.fastq.gz	HSPC_053	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_054	GSM2166474 1	SRS1454033	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_054	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166474 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166474	HSPC_054	SRX1783043	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556317	SRR3556317	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/007/SRR3556317/SRR3556317.fastq.gz	HSPC_054	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_054	GSM2168400 1	SRS1455952	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_054	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168400 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168400	HSPC_054	SRX1784963	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558237	SRR3558237	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/007/SRR3558237/SRR3558237.fastq.gz	HSPC_054	hematopoietic stem cell and hematopoietic multipotent progenitor cell
