Assay,Sample Characteristic[organism],Sample Characteristic Ontology Term[organism],Sample Characteristic[strain],Sample Characteristic Ontology Term[strain],Sample Characteristic[sex],Sample Characteristic Ontology Term[sex],Sample Characteristic[age],Sample Characteristic Ontology Term[age],Sample Characteristic[organism part],Sample Characteristic Ontology Term[organism part],Sample Characteristic[cell type],Sample Characteristic Ontology Term[cell type],Sample Characteristic[facs marker],Sample Characteristic Ontology Term[facs marker],Factor Value[single cell identifier],Factor Value Ontology Term[single cell identifier],Factor Value[cell type],Factor Value Ontology Term[cell type]
HSPC_349,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_349,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_350,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_350,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_351,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_351,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_352,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_352,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_353,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_353,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_354,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_354,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_355,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_355,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_356,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_356,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_357,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_357,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_358,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_358,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_359,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_359,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_360,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_360,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_361,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_361,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_362,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_362,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_363,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_363,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_364,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_364,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_365,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_365,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_366,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_366,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_367,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_367,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_368,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_368,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_369,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_369,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_370,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_370,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_371,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_372,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_372,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_373,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_373,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_374,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_374,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_375,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_375,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_376,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_376,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_377,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_377,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_378,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_378,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_379,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_379,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_380,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_380,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_381,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_381,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_382,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_382,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_383,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_383,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_384,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_384,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_385,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_385,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_386,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_386,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_387,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_387,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_388,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_388,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_389,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_389,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_390,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_390,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_391,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_391,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_392,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_392,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_393,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_393,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_394,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_394,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_395,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_395,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_396,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_396,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_397,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_397,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_398,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_398,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_399,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_399,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_400,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_400,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_401,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_401,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_402,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_402,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_403,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_403,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_404,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_404,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_405,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_405,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_406,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_406,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_407,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_407,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_408,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_408,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_409,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_409,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
